Graph,True,CDC,MachineL,Autocorrelation,Trend,Variability,PointsA,PointsB,EffectSize,Expert,Decision
21,1,0,1,0.2,30,0.25,5,10,2,A,1
21,1,0,1,0.2,30,0.25,5,10,2,B,1
21,1,0,1,0.2,30,0.25,5,10,2,C,0
21,1,0,1,0.2,30,0.25,5,10,2,D,0
21,1,0,1,0.2,30,0.25,5,10,2,E,0
22,0,0,0,0.2,30,0.25,5,5,0,A,0
22,0,0,0,0.2,30,0.25,5,5,0,B,0
22,0,0,0,0.2,30,0.25,5,5,0,C,0
22,0,0,0,0.2,30,0.25,5,5,0,D,0
22,0,0,0,0.2,30,0.25,5,5,0,E,0
23,1,1,1,0,0,0.25,3,10,5,A,1
23,1,1,1,0,0,0.25,3,10,5,B,1
23,1,1,1,0,0,0.25,3,10,5,C,0
23,1,1,1,0,0,0.25,3,10,5,D,1
23,1,1,1,0,0,0.25,3,10,5,E,1
24,0,0,0,0.2,0,0.25,3,5,0,A,0
24,0,0,0,0.2,0,0.25,3,5,0,B,0
24,0,0,0,0.2,0,0.25,3,5,0,C,0
24,0,0,0,0.2,0,0.25,3,5,0,D,0
24,0,0,0,0.2,0,0.25,3,5,0,E,0
25,0,0,0,0,0,0.1,3,5,0,A,0
25,0,0,0,0,0,0.1,3,5,0,B,0
25,0,0,0,0,0,0.1,3,5,0,C,0
25,0,0,0,0,0,0.1,3,5,0,D,0
25,0,0,0,0,0,0.1,3,5,0,E,0
26,1,1,1,0,0,0.25,3,10,4,A,1
26,1,1,1,0,0,0.25,3,10,4,B,1
26,1,1,1,0,0,0.25,3,10,4,C,0
26,1,1,1,0,0,0.25,3,10,4,D,1
26,1,1,1,0,0,0.25,3,10,4,E,1
27,1,1,1,0.2,30,0.25,3,5,5,A,1
27,1,1,1,0.2,30,0.25,3,5,5,B,1
27,1,1,1,0.2,30,0.25,3,5,5,C,1
27,1,1,1,0.2,30,0.25,3,5,5,D,1
27,1,1,1,0.2,30,0.25,3,5,5,E,1
28,0,0,0,0,0,0.25,5,5,0,A,0
28,0,0,0,0,0,0.25,5,5,0,B,0
28,0,0,0,0,0,0.25,5,5,0,C,0
28,0,0,0,0,0,0.25,5,5,0,D,0
28,0,0,0,0,0,0.25,5,5,0,E,0
29,0,1,0,0.2,30,0.25,3,10,0,A,1
29,0,1,0,0.2,30,0.25,3,10,0,B,1
29,0,1,0,0.2,30,0.25,3,10,0,C,1
29,0,1,0,0.2,30,0.25,3,10,0,D,1
29,0,1,0,0.2,30,0.25,3,10,0,E,1
30,0,1,0,0,30,0.25,3,5,0,A,1
30,0,1,0,0,30,0.25,3,5,0,B,1
30,0,1,0,0,30,0.25,3,5,0,C,1
30,0,1,0,0,30,0.25,3,5,0,D,1
30,0,1,0,0,30,0.25,3,5,0,E,1
31,0,0,0,0,30,0.25,5,10,0,A,1
31,0,0,0,0,30,0.25,5,10,0,B,0
31,0,0,0,0,30,0.25,5,10,0,C,0
31,0,0,0,0,30,0.25,5,10,0,D,0
31,0,0,0,0,30,0.25,5,10,0,E,0
32,1,1,0,0,30,0.25,3,10,2,A,1
32,1,1,0,0,30,0.25,3,10,2,B,0
32,1,1,0,0,30,0.25,3,10,2,C,1
32,1,1,0,0,30,0.25,3,10,2,D,1
32,1,1,0,0,30,0.25,3,10,2,E,0
33,1,0,0,0.2,30,0.25,3,5,1,A,1
33,1,0,0,0.2,30,0.25,3,5,1,B,0
33,1,0,0,0.2,30,0.25,3,5,1,C,0
33,1,0,0,0.2,30,0.25,3,5,1,D,0
33,1,0,0,0.2,30,0.25,3,5,1,E,0
34,1,1,1,0.2,30,0.1,5,10,2,A,1
34,1,1,1,0.2,30,0.1,5,10,2,B,1
34,1,1,1,0.2,30,0.1,5,10,2,C,1
34,1,1,1,0.2,30,0.1,5,10,2,D,1
34,1,1,1,0.2,30,0.1,5,10,2,E,1
35,1,1,1,0,30,0.25,5,5,2,A,1
35,1,1,1,0,30,0.25,5,5,2,B,0
35,1,1,1,0,30,0.25,5,5,2,C,0
35,1,1,1,0,30,0.25,5,5,2,D,1
35,1,1,1,0,30,0.25,5,5,2,E,1
36,1,1,1,0,0,0.1,5,5,5,A,1
36,1,1,1,0,0,0.1,5,5,5,B,0
36,1,1,1,0,0,0.1,5,5,5,C,1
36,1,1,1,0,0,0.1,5,5,5,D,1
36,1,1,1,0,0,0.1,5,5,5,E,1
37,1,1,1,0,0,0.25,3,10,4,A,1
37,1,1,1,0,0,0.25,3,10,4,B,1
37,1,1,1,0,0,0.25,3,10,4,C,1
37,1,1,1,0,0,0.25,3,10,4,D,1
37,1,1,1,0,0,0.25,3,10,4,E,1
38,0,0,0,0.2,0,0.1,3,10,0,A,0
38,0,0,0,0.2,0,0.1,3,10,0,B,0
38,0,0,0,0.2,0,0.1,3,10,0,C,0
38,0,0,0,0.2,0,0.1,3,10,0,D,0
38,0,0,0,0.2,0,0.1,3,10,0,E,0
39,1,0,1,0,30,0.1,5,10,3,A,1
39,1,0,1,0,30,0.1,5,10,3,B,1
39,1,0,1,0,30,0.1,5,10,3,C,0
39,1,0,1,0,30,0.1,5,10,3,D,0
39,1,0,1,0,30,0.1,5,10,3,E,0
40,0,0,0,0.2,30,0.25,3,5,0,A,1
40,0,0,0,0.2,30,0.25,3,5,0,B,0
40,0,0,0,0.2,30,0.25,3,5,0,C,0
40,0,0,0,0.2,30,0.25,3,5,0,D,1
40,0,0,0,0.2,30,0.25,3,5,0,E,0
41,0,0,0,0,0,0.1,5,10,0,A,0
41,0,0,0,0,0,0.1,5,10,0,B,0
41,0,0,0,0,0,0.1,5,10,0,C,0
41,0,0,0,0,0,0.1,5,10,0,D,0
41,0,0,0,0,0,0.1,5,10,0,E,0
42,1,1,1,0,0,0.1,3,10,4,A,1
42,1,1,1,0,0,0.1,3,10,4,B,0
42,1,1,1,0,0,0.1,3,10,4,C,0
42,1,1,1,0,0,0.1,3,10,4,D,1
42,1,1,1,0,0,0.1,3,10,4,E,1
43,1,0,1,0.2,0,0.25,3,10,4,A,1
43,1,0,1,0.2,0,0.25,3,10,4,B,0
43,1,0,1,0.2,0,0.25,3,10,4,C,0
43,1,0,1,0.2,0,0.25,3,10,4,D,0
43,1,0,1,0.2,0,0.25,3,10,4,E,0
44,1,1,1,0.2,0,0.1,5,5,5,A,1
44,1,1,1,0.2,0,0.1,5,5,5,B,1
44,1,1,1,0.2,0,0.1,5,5,5,C,1
44,1,1,1,0.2,0,0.1,5,5,5,D,1
44,1,1,1,0.2,0,0.1,5,5,5,E,1
45,1,1,1,0.2,30,0.25,5,10,4,A,1
45,1,1,1,0.2,30,0.25,5,10,4,B,1
45,1,1,1,0.2,30,0.25,5,10,4,C,1
45,1,1,1,0.2,30,0.25,5,10,4,D,1
45,1,1,1,0.2,30,0.25,5,10,4,E,1
46,0,0,0,0.2,0,0.1,3,5,0,A,0
