Graph, True,ExpertA,ExpertB,ExpertC,ExpertD,ExpertE,CDC,MachineL,Autocorrelation,Trend,Variability,PointsA,PointsB,EffectSize
415,0,1,0,1,1,1,1,0,0,30,0.1,3,10,0
416,1,1,1,1,1,1,1,1,0.2,0,0.25,3,10,5
417,1,1,0,1,1,1,1,1,0.2,30,0.1,5,5,5
418,0,0,0,0,0,0,0,0,0.2,0,0.25,5,10,0
419,0,0,0,0,0,0,0,0,0.2,30,0.1,3,5,0
420,0,0,0,0,0,0,0,0,0.2,0,0.25,5,10,0
421,0,0,0,0,0,0,0,0,0,0,0.1,3,5,0
422,1,1,0,1,1,1,1,1,0.2,30,0.25,5,5,5
423,0,0,1,0,0,0,0,0,0.2,0,0.25,3,5,0
424,0,0,0,0,0,0,0,0,0.2,0,0.25,3,10,0
425,1,1,0,0,1,0,0,1,0.2,0,0.1,3,5,5
426,1,1,1,1,1,0,1,1,0,30,0.25,5,5,4
427,1,1,0,0,1,1,1,1,0.2,0,0.1,3,10,2
428,0,1,1,0,1,0,0,0,0,30,0.1,3,5,0
429,0,0,0,0,0,0,0,0,0,0,0.1,5,10,0
430,1,1,1,0,0,0,0,0,0,0,0.25,5,10,1
431,1,1,0,1,1,1,1,1,0.2,30,0.1,3,5,5
432,0,0,0,0,0,1,1,1,0.2,0,0.1,5,5,0
433,0,0,0,0,0,0,0,0,0.2,0,0.25,5,5,0
434,1,1,1,0,1,0,0,1,0,0,0.25,3,5,4
435,0,1,0,0,0,0,0,0,0,30,0.1,3,5,0
436,0,0,0,0,0,0,0,0,0.2,0,0.1,5,10,0
437,0,1,0,0,1,0,1,0,0,30,0.1,3,5,0
438,1,1,1,0,1,0,0,1,0.2,0,0.25,5,5,4
439,1,1,0,0,1,0,1,1,0.2,0,0.1,5,10,5
440,1,1,1,0,1,1,1,1,0.2,30,0.25,5,5,2
441,1,1,1,0,1,1,1,1,0,30,0.25,5,5,4
442,1,1,1,1,1,1,1,1,0,0,0.25,5,5,4
443,0,0,0,0,0,0,0,0,0.2,0,0.1,5,5,0
444,1,1,1,1,1,1,1,1,0,0,0.1,3,5,4
445,1,1,0,1,1,1,1,1,0,30,0.25,5,10,4
446,1,1,1,1,1,1,1,1,0,0,0.25,5,5,5
447,0,1,0,0,1,0,0,0,0,30,0.25,3,10,0
448,1,1,0,0,1,0,1,1,0.2,0,0.25,5,10,2
449,0,1,0,0,0,0,0,0,0.2,30,0.1,3,10,0
450,1,1,0,1,1,1,1,1,0,30,0.1,5,10,3
451,0,1,0,0,0,0,0,0,0,30,0.1,3,5,0
452,1,1,1,1,1,1,1,1,0,0,0.25,5,10,5
453,1,0,0,0,0,0,0,1,0.2,0,0.1,5,5,4
454,0,0,0,0,0,0,0,0,0,30,0.1,3,10,0
455,1,1,0,1,1,1,1,1,0.2,0,0.1,5,10,4
456,1,1,0,1,1,1,1,1,0.2,0,0.25,3,5,4
457,1,1,1,1,1,1,1,1,0,30,0.1,5,5,5
458,0,0,0,0,0,0,0,0,0,0,0.25,5,10,0
459,1,1,0,1,1,1,1,1,0,30,0.25,5,10,5
460,0,1,0,0,1,1,1,0,0,30,0.1,3,10,0
461,1,1,1,1,1,1,1,1,0,0,0.25,3,5,3
462,1,1,0,0,1,1,1,1,0.2,30,0.25,5,10,4
463,0,1,1,0,1,0,0,0,0.2,30,0.25,3,10,0
464,1,1,0,0,1,0,0,1,0,30,0.1,3,5,2
465,1,0,0,0,0,0,0,0,0,0,0.1,3,5,2
466,1,1,1,1,1,1,1,1,0,30,0.25,5,5,4
467,1,1,0,0,0,1,1,1,0.2,0,0.1,3,10,3
468,1,1,1,1,1,0,0,1,0,0,0.25,3,5,5
469,0,0,0,0,0,0,1,0,0.2,0,0.1,5,5,0
470,0,0,0,0,0,0,0,0,0.2,30,0.1,3,10,0
471,1,1,0,0,1,0,0,0,0,0,0.25,3,5,4
472,0,0,0,0,0,0,0,0,0.2,30,0.1,5,10,0
473,0,1,0,0,0,0,0,0,0,30,0.1,5,5,0
474,0,0,0,0,0,0,0,0,0,0,0.1,5,10,0
475,0,1,0,0,1,0,1,0,0.2,30,0.1,3,10,0
476,0,0,0,0,0,0,0,0,0,0,0.1,3,5,0
477,0,0,1,0,0,0,0,0,0,0,0.25,3,5,0
478,1,1,0,0,1,1,1,1,0.2,0,0.25,5,10,5
479,0,1,0,0,0,0,1,0,0,30,0.1,3,10,0
480,1,1,1,0,1,1,1,1,0,0,0.1,3,10,5
481,1,1,0,0,1,0,0,1,0.2,30,0.25,3,5,3
482,1,1,0,0,1,1,1,1,0.2,30,0.25,5,10,5
483,1,0,0,0,0,0,0,0,0,0,0.25,3,10,2
484,1,0,1,1,1,1,1,1,0,0,0.25,3,10,5
485,1,1,1,1,1,1,1,1,0.2,30,0.1,3,5,4
486,1,1,0,0,1,0,0,0,0.2,0,0.25,3,5,1
487,0,0,0,0,0,0,0,0,0.2,0,0.1,3,5,0
488,0,0,0,0,0,0,0,0,0,0,0.1,3,10,0
489,0,1,0,0,1,0,0,0,0,30,0.1,5,5,0
490,1,1,0,0,1,0,0,0,0,0,0.25,3,5,1
491,1,1,0,0,0,0,0,1,0,30,0.25,3,5,5
492,0,0,0,0,0,0,0,0,0.2,0,0.25,3,10,0
493,1,1,1,1,1,1,1,1,0,0,0.25,3,10,4
494,0,0,0,0,0,0,0,0,0.2,0,0.1,5,5,0
495,1,1,1,0,1,0,0,1,0,0,0.25,5,10,2
496,0,1,0,0,0,0,1,0,0.2,30,0.25,5,10,0
497,1,1,1,0,1,0,0,1,0,0,0.1,5,10,4
498,1,1,0,0,1,1,1,1,0.2,0,0.1,3,5,3
499,0,0,0,0,0,0,0,0,0.2,0,0.1,5,5,0
500,1,1,1,0,1,1,1,0,0,30,0.1,5,5,3
501,1,1,0,0,1,1,1,1,0.2,30,0.25,5,5,3
502,1,1,0,1,1,1,1,1,0,30,0.25,5,10,5
503,1,0,0,0,0,0,0,0,0.2,0,0.25,5,10,1
504,0,1,0,0,1,1,1,0,0.2,30,0.25,5,10,0
505,1,1,1,1,1,1,1,1,0,30,0.25,5,5,1
506,0,0,0,0,0,0,0,0,0,0,0.1,5,5,0
507,0,0,0,0,0,0,0,0,0.2,0,0.25,5,10,0
508,0,0,0,0,0,0,0,0,0.2,0,0.25,3,10,0
509,1,0,1,0,0,0,0,1,0.2,0,0.25,5,5,3
510,1,1,0,1,1,1,1,0,0,30,0.25,3,5,1
511,1,1,0,0,1,0,0,1,0.2,30,0.1,5,10,1
512,0,0,0,0,0,0,0,0,0.2,0,0.1,3,10,0
513,1,1,1,1,1,1,1,1,0.2,0,0.25,5,10,4
514,1,1,0,0,1,1,1,1,0.2,30,0.1,3,10,4
515,0,0,0,0,0,0,0,0,0.2,0,0.1,5,10,0
516,1,1,0,0,0,0,0,0,0,30,0.1,3,10,1
517,0,1,0,0,1,0,0,0,0.2,0,0.25,5,10,0
518,1,1,1,0,1,1,1,1,0.2,30,0.25,5,5,4
519,0,0,0,0,0,0,0,0,0,0,0.1,5,5,0
520,0,1,0,0,0,1,1,0,0.2,30,0.25,3,5,0
521,1,1,1,1,1,1,1,1,0.2,30,0.1,3,5,5
522,0,1,0,0,1,1,1,0,0.2,30,0.1,5,10,0
523,0,0,0,0,0,0,0,0,0,30,0.1,3,10,0
524,1,0,0,0,0,0,0,0,0.2,0,0.25,3,10,1
525,1,1,1,0,1,1,1,1,0,0,0.25,5,5,3
526,1,1,0,0,1,1,1,0,0,30,0.25,3,10,1
527,1,1,0,0,1,0,1,0,0,30,0.25,5,10,1
528,1,1,1,1,1,1,1,1,0,0,0.25,3,10,2
529,1,1,0,0,0,0,0,1,0,0,0.25,5,5,1
530,1,0,0,0,0,0,0,0,0.2,0,0.25,5,10,1
531,0,0,0,0,0,0,0,0,0,0,0.25,3,10,0
532,0,1,0,0,1,0,0,1,0.2,30,0.1,5,5,0
533,0,0,0,0,0,0,0,0,0,0,0.1,5,5,0
534,0,1,0,0,0,0,0,0,0.2,30,0.25,5,10,0
535,1,0,0,0,0,0,0,0,0,0,0.1,5,5,1
536,1,1,1,1,1,1,1,1,0,30,0.25,5,5,3
537,1,0,0,0,0,0,1,1,0,0,0.1,5,10,2
538,0,1,0,0,1,0,0,1,0.2,30,0.1,3,5,0
539,1,1,1,1,1,0,0,1,0.2,0,0.25,3,10,2
540,1,1,0,0,1,1,1,1,0,0,0.1,3,10,2
541,1,1,0,0,0,0,0,1,0,0,0.25,5,5,3
542,1,1,1,0,1,1,1,1,0.2,0,0.25,5,5,3
543,0,1,0,0,1,0,0,0,0.2,30,0.1,3,10,0
544,1,1,1,1,1,1,1,1,0,30,0.1,5,5,5
545,1,1,0,0,1,1,1,1,0,0,0.1,5,10,4
546,1,0,0,0,1,0,0,0,0,0,0.25,3,5,2
547,0,0,0,0,0,0,0,0,0.2,0,0.25,3,5,0
548,1,0,0,0,1,1,1,1,0,0,0.1,3,10,3
549,0,0,0,0,0,0,0,0,0.2,0,0.1,3,5,0
550,1,1,0,0,0,0,0,1,0.2,0,0.1,3,10,3
551,0,1,1,1,1,1,1,0,0,30,0.25,5,10,0
552,1,1,0,0,1,1,1,1,0.2,0,0.1,3,10,3
553,0,0,0,0,0,0,0,0,0.2,0,0.1,3,5,0
554,0,1,0,0,0,0,0,0,0.2,30,0.1,3,5,0
555,1,1,1,0,1,1,1,1,0.2,30,0.1,3,10,4
556,0,0,0,0,0,0,1,0,0,0,0.1,3,10,0
557,0,0,0,0,0,0,0,0,0.2,0,0.1,5,5,0
558,1,1,1,1,1,1,1,1,0.2,30,0.1,5,5,3
559,1,1,1,1,1,1,1,1,0,30,0.25,3,10,3
560,1,1,0,0,1,0,0,1,0.2,30,0.25,5,5,2
561,0,0,0,0,0,0,0,0,0.2,0,0.25,5,10,0
562,1,1,0,0,1,1,1,1,0,30,0.1,5,10,5
563,0,1,0,0,0,0,0,1,0.2,30,0.1,3,5,0
564,0,1,0,0,1,0,0,0,0,30,0.25,3,5,0
565,0,0,0,0,0,0,0,0,0.2,0,0.25,5,5,0
566,0,0,1,1,1,1,1,0,0.2,30,0.25,5,10,0
567,0,0,0,0,0,0,0,0,0,0,0.25,5,5,0
568,1,1,0,0,1,1,1,0,0.2,30,0.1,3,10,1
569,1,1,0,0,0,0,0,1,0,0,0.1,5,10,4
570,1,1,1,1,1,0,0,1,0.2,0,0.25,3,10,3
571,1,0,0,0,0,0,0,0,0.2,0,0.25,3,10,1
572,1,1,1,0,1,0,1,1,0,0,0.1,5,5,5
573,1,1,0,0,1,1,1,1,0.2,30,0.1,5,5,5
574,1,1,0,0,0,1,1,1,0,0,0.1,3,5,3
575,1,1,1,1,1,1,1,1,0,0,0.25,5,5,5
576,1,1,1,1,1,1,1,1,0.2,0,0.25,3,5,3
577,1,0,0,0,0,0,0,0,0.2,0,0.1,5,5,1
578,0,0,0,0,0,0,0,0,0,0,0.25,5,10,0
579,1,0,0,0,0,0,0,0,0,0,0.1,3,5,1
580,0,0,0,0,0,0,0,0,0.2,0,0.25,3,10,0
581,1,1,0,0,0,0,0,0,0.2,30,0.1,3,10,3
582,0,1,1,0,1,1,1,0,0,30,0.25,3,10,0
583,0,0,0,0,0,0,0,0,0,0,0.25,5,10,0
584,1,1,1,1,1,1,1,1,0.2,30,0.25,3,5,5
585,1,0,0,0,0,0,0,0,0,0,0.1,3,5,1
586,1,0,0,0,0,0,1,1,0.2,0,0.1,3,5,4
587,0,1,0,0,0,0,0,0,0,30,0.1,5,10,0
588,1,1,1,1,1,1,1,1,0,0,0.1,3,10,5
589,1,0,0,0,0,0,1,0,0,0,0.1,3,5,2
590,0,0,0,0,0,0,0,0,0,30,0.25,5,5,0
591,0,0,0,0,0,0,0,0,0,0,0.1,5,10,0
592,0,0,0,0,0,0,0,0,0.2,0,0.1,5,10,0
593,1,1,0,0,0,0,0,1,0.2,30,0.25,3,5,2
594,1,1,1,1,1,1,1,1,0,30,0.1,5,5,4
595,1,1,1,1,1,1,1,1,0.2,30,0.25,3,10,2
596,0,0,0,0,0,0,0,0,0,0,0.25,3,5,0
597,1,1,1,1,1,1,1,1,0.2,0,0.1,5,5,5
598,1,0,1,1,1,1,1,1,0.2,0,0.1,3,5,3
599,1,0,0,1,0,0,0,1,0,0,0.1,5,10,3
600,0,1,0,0,0,0,0,0,0.2,30,0.25,5,10,0
601,1,0,1,0,1,1,1,1,0,0,0.25,5,5,2
602,0,1,1,0,1,0,0,1,0,30,0.25,5,10,0
603,0,0,0,0,0,0,0,0,0.2,0,0.25,3,5,0
604,0,0,0,0,0,0,0,0,0.2,0,0.25,5,5,0
605,0,0,0,0,0,0,0,0,0.2,0,0.25,3,10,0
606,1,1,1,1,1,1,1,1,0.2,30,0.25,3,5,4
607,0,1,0,0,0,0,0,0,0.2,30,0.1,3,5,0
608,1,1,1,1,1,1,1,1,0.2,30,0.25,3,5,4
609,0,0,0,0,0,0,0,0,0,30,0.25,5,5,0
610,0,0,0,0,0,0,0,0,0,0,0.1,5,10,0
611,0,0,0,0,0,0,0,0,0,0,0.25,5,5,0
612,0,1,0,0,0,0,0,0,0.2,30,0.1,3,10,0
613,0,0,0,0,0,0,0,0,0,0,0.25,3,5,0
614,0,1,0,0,0,0,0,0,0,30,0.25,5,10,0
615,0,0,0,0,0,0,0,0,0.2,0,0.1,5,10,0
616,0,0,0,0,0,0,0,0,0,0,0.1,3,10,0
617,1,1,1,1,1,1,1,1,0,30,0.25,5,5,5
618,1,1,0,0,1,0,0,1,0.2,0,0.25,5,5,5
619,1,1,0,0,0,0,0,0,0.2,30,0.1,3,10,1
620,1,1,1,1,1,1,1,1,0.2,30,0.25,5,5,4
621,0,1,0,0,0,0,1,0,0.2,30,0.25,5,10,0
622,0,1,0,0,1,0,1,1,0,30,0.1,5,5,0
623,1,1,1,1,1,1,1,1,0,0,0.1,3,5,5
624,0,1,0,0,0,0,0,0,0,30,0.25,3,10,0
625,1,1,1,1,1,0,0,1,0.2,0,0.25,3,5,1
626,1,1,0,1,0,1,1,1,0,0,0.25,5,10,3
627,1,1,0,0,0,0,0,1,0,0,0.1,5,10,1
628,1,0,0,0,0,0,0,1,0,0,0.1,3,10,1
629,1,1,1,1,1,1,0,1,0.2,0,0.25,5,5,5
630,0,0,0,0,0,0,0,0,0.2,0,0.25,5,10,0
631,0,0,0,0,0,0,0,0,0.2,30,0.1,5,10,0
632,1,1,1,1,1,1,1,1,0,0,0.25,5,5,2
633,1,0,0,0,0,0,0,0,0,0,0.25,5,10,1
634,1,1,1,1,1,0,1,1,0.2,30,0.1,3,10,2
635,1,0,0,0,0,0,0,0,0,30,0.1,5,10,1
636,0,0,0,0,0,0,0,0,0,0,0.1,3,10,0
637,1,1,0,0,0,1,1,0,0.2,30,0.25,5,10,4
638,1,1,0,0,0,1,1,0,0,30,0.1,3,10,2
639,1,1,1,1,1,1,1,1,0.2,30,0.25,3,10,2
640,0,1,0,0,1,0,0,1,0.2,30,0.1,3,5,0
641,1,1,1,1,1,1,1,1,0.2,0,0.25,5,5,4
642,0,0,0,0,0,0,0,0,0,0,0.1,5,10,0
643,1,0,0,0,0,0,0,0,0,0,0.25,5,5,1
644,1,1,0,0,1,0,1,1,0,30,0.1,3,5,3
645,1,1,0,0,0,0,1,1,0.2,0,0.1,5,5,3
646,1,1,0,0,0,1,1,0,0,30,0.1,3,10,1
647,1,1,1,1,1,1,1,1,0,30,0.25,3,5,2
648,0,0,0,0,0,0,0,0,0,0,0.1,5,10,0
649,0,0,0,0,0,0,0,0,0.2,0,0.25,3,5,0
650,1,1,1,1,1,1,1,1,0.2,0,0.25,3,5,2
651,1,1,1,1,1,1,1,1,0,0,0.1,3,5,3
652,1,1,0,1,1,1,1,1,0.2,0,0.25,3,5,4
653,1,0,1,0,0,0,0,0,0.2,0,0.1,3,5,1
654,1,1,0,0,0,1,1,0,0,30,0.1,3,5,1
655,1,0,0,0,0,0,0,0,0.2,0,0.1,3,5,1
656,1,1,0,0,1,1,1,1,0.2,0,0.1,3,5,5
657,1,1,0,0,1,0,1,1,0.2,0,0.1,5,5,3
658,1,1,0,1,1,1,1,1,0.2,30,0.25,5,5,5
659,1,0,1,0,0,0,0,1,0.2,0,0.1,3,10,2
660,0,0,0,0,0,0,0,0,0.2,0,0.1,5,5,0
661,1,1,0,0,1,1,1,1,0,30,0.25,5,5,3
662,1,1,0,0,1,1,1,1,0,30,0.1,5,5,3
663,0,1,1,0,1,1,1,0,0,30,0.1,3,5,0
664,1,1,0,0,1,0,0,0,0.2,30,0.25,5,5,1
665,1,1,0,0,1,1,1,1,0,0,0.1,5,5,3
666,0,1,0,0,0,0,0,0,0.2,30,0.25,3,5,0
667,1,1,0,0,1,0,0,1,0,30,0.1,3,10,4
668,1,1,1,1,1,1,1,1,0,0,0.25,3,5,3
669,0,1,0,0,1,1,1,0,0,30,0.1,5,5,0
670,0,0,0,0,0,0,0,0,0,0,0.1,5,10,0
671,1,1,0,0,1,0,1,0,0.2,0,0.25,3,5,3
672,1,1,0,0,0,1,1,0,0.2,0,0.1,5,10,2
673,1,1,1,1,1,1,1,1,0.2,0,0.25,3,5,4
674,0,1,0,0,0,0,0,0,0.2,0,0.25,3,5,0
675,1,1,1,1,1,1,1,1,0,0,0.25,5,10,5
676,1,0,0,0,0,0,0,0,0.2,0,0.25,3,10,2
677,1,1,0,0,0,0,0,0,0.2,30,0.25,5,10,2
678,0,0,0,0,0,0,0,0,0.2,0,0.1,3,10,0
679,0,0,0,0,0,0,0,0,0,0,0.25,5,10,0
680,0,0,0,0,0,0,0,0,0,30,0.25,5,5,0
681,0,1,0,0,0,0,0,0,0.2,30,0.25,3,10,0
682,0,0,0,0,0,0,0,0,0,0,0.25,5,5,0
683,1,0,0,0,0,0,0,0,0,0,0.1,5,5,2
684,1,0,0,0,0,0,1,0,0,0,0.25,5,10,2
685,0,0,0,0,0,0,0,0,0,0,0.1,3,10,0
686,1,1,0,0,0,0,0,0,0,30,0.25,5,10,1
687,1,1,0,0,0,0,1,0,0.2,30,0.25,5,10,2
688,1,1,1,1,1,1,1,1,0.2,30,0.25,5,5,1
689,0,0,0,0,0,0,0,0,0.2,0,0.25,5,5,0
690,0,0,0,0,0,0,0,0,0.2,30,0.1,3,5,0
691,1,1,1,1,1,1,1,1,0.2,0,0.1,5,5,4
692,0,1,0,0,0,0,0,0,0,30,0.1,3,10,0
693,1,0,1,1,1,0,0,1,0.2,0,0.25,3,5,1
694,0,0,0,0,0,0,0,0,0,0,0.1,5,5,0
695,1,0,0,0,0,0,0,0,0,0,0.1,5,10,1
696,1,1,0,0,1,1,1,1,0,30,0.25,5,5,3
697,1,1,1,0,0,0,0,1,0,30,0.1,5,10,4
698,1,1,1,1,1,1,1,1,0.2,0,0.25,3,10,4
699,1,0,0,0,0,0,0,0,0.2,0,0.25,5,5,1
700,0,0,0,0,0,0,0,0,0.2,0,0.1,5,10,0
701,1,1,1,1,1,1,1,1,0.2,0,0.25,3,5,5
702,1,0,0,0,0,0,0,1,0.2,0,0.1,3,10,1
703,1,1,1,1,1,0,0,1,0,0,0.1,3,5,3
704,1,1,1,1,1,1,1,1,0,0,0.1,3,10,5
705,0,1,0,0,0,0,0,0,0.2,30,0.1,5,10,0
706,1,1,0,0,1,0,0,1,0.2,30,0.1,5,5,1
707,0,0,0,0,0,0,0,0,0,0,0.25,5,10,0
708,0,0,0,0,0,0,0,0,0.2,30,0.25,5,5,0
709,0,0,0,0,0,0,0,0,0,0,0.1,3,10,0
710,0,1,0,0,0,0,0,0,0,30,0.1,5,10,0
711,1,1,1,1,1,1,1,1,0,30,0.1,5,10,4
712,0,0,0,0,0,0,0,0,0,0,0.25,5,10,0
713,1,1,1,1,1,1,1,1,0,0,0.1,3,10,4
714,0,0,0,0,0,0,0,0,0.2,30,0.25,3,5,0
715,0,0,0,0,0,0,0,0,0,0,0.1,3,5,0
716,1,1,1,1,1,1,1,1,0.2,0,0.25,3,5,5
717,1,0,0,0,0,0,0,0,0,0,0.25,3,10,1
718,1,1,0,1,1,0,0,1,0.2,30,0.1,3,10,5
719,1,0,0,0,0,0,0,0,0.2,0,0.1,5,5,1
720,0,1,0,0,0,0,0,0,0,30,0.1,3,5,0
721,1,1,1,1,1,1,1,1,0,30,0.25,5,10,4
722,0,1,0,0,1,1,1,1,0.2,0,0.25,5,5,0
723,1,1,0,0,1,1,1,1,0,0,0.25,5,5,5
724,1,1,0,0,0,0,0,1,0,0,0.1,3,5,4
725,1,0,0,0,0,1,1,1,0.2,0,0.1,5,10,1
726,0,0,0,0,0,1,1,0,0,30,0.25,5,5,0
727,1,1,1,0,1,1,0,1,0,30,0.25,3,5,2
728,1,1,0,0,0,0,1,0,0.2,30,0.1,5,10,1
729,1,1,0,0,0,1,1,1,0.2,30,0.1,5,10,5
730,0,0,0,0,0,0,0,0,0.2,0,0.25,5,5,0
731,0,0,0,0,0,0,0,0,0,0,0.25,3,5,0
732,1,1,1,1,1,1,1,1,0,30,0.25,5,10,5
733,0,0,0,0,0,0,0,0,0,30,0.1,3,5,0
734,1,0,1,1,1,1,1,1,0.2,30,0.25,3,10,5
735,1,0,0,0,0,1,1,1,0,0,0.1,5,10,3
736,1,1,1,0,1,1,1,1,0,30,0.1,5,5,2
737,0,0,0,0,0,0,0,0,0.2,0,0.1,5,5,0
738,1,1,1,1,1,1,1,1,0,30,0.1,5,5,4
739,1,1,1,1,1,1,1,1,0.2,30,0.25,5,5,2
740,1,1,1,1,1,1,1,1,0.2,30,0.1,3,10,5
741,0,0,0,0,0,0,0,0,0,0,0.25,3,10,0
742,1,1,1,1,1,1,1,1,0.2,30,0.1,5,5,4
743,1,1,0,1,1,0,0,1,0,30,0.25,3,5,1
744,1,1,0,0,0,1,1,1,0.2,0,0.1,3,10,2
745,1,1,1,1,1,1,1,1,0.2,0,0.25,5,10,3
746,0,0,0,0,0,0,0,0,0,0,0.25,3,10,0
747,0,1,0,0,1,0,1,0,0.2,30,0.1,3,5,0
748,1,0,0,0,0,1,1,1,0.2,0,0.1,3,5,3
749,1,1,0,1,1,1,1,1,0.2,0,0.25,3,5,2
750,1,1,0,0,0,0,1,1,0.2,30,0.1,5,10,5
751,1,1,1,1,1,1,1,1,0,0,0.25,3,5,3
752,0,0,0,0,0,0,0,0,0.2,0,0.1,3,10,0
753,1,1,1,1,1,1,1,0,0.2,30,0.25,3,10,2
754,0,1,0,0,0,0,0,0,0,30,0.25,5,5,0
755,1,1,1,1,1,1,1,1,0.2,30,0.1,5,10,5
756,0,0,0,0,0,0,0,0,0,0,0.25,3,10,0
757,1,1,0,1,1,1,1,1,0.2,30,0.1,5,5,5
758,1,1,0,0,1,1,0,1,0.2,0,0.1,3,5,2
759,1,1,0,1,1,0,0,1,0.2,0,0.1,3,5,4
760,1,1,0,0,1,1,1,1,0,0,0.25,5,5,1
761,0,0,0,0,0,0,0,0,0,0,0.25,3,10,0
762,1,1,0,0,1,0,0,1,0,30,0.25,3,10,4
763,1,0,0,0,0,0,0,0,0.2,0,0.1,3,10,1
764,1,1,0,0,0,1,1,1,0,30,0.1,5,10,5
765,1,1,1,1,1,1,1,1,0.2,30,0.25,5,5,3
766,1,1,1,1,1,1,1,1,0,30,0.25,3,5,1
767,1,1,1,1,1,1,1,1,0,30,0.25,5,5,5
768,1,1,0,0,1,0,0,1,0.2,30,0.25,3,5,2
769,1,1,1,1,1,0,1,1,0.2,30,0.1,3,5,4
770,0,1,0,1,1,1,0,1,0,30,0.25,5,10,0
771,0,0,0,0,0,0,0,0,0,0,0.25,5,5,0
772,1,1,1,0,1,0,1,0,0,0,0.25,3,5,2
773,0,1,1,0,0,1,1,1,0.2,30,0.1,5,5,0
774,1,1,0,0,0,1,1,1,0,30,0.25,5,10,2
775,1,1,1,1,1,1,1,1,0.2,0,0.25,3,5,4
776,1,0,0,0,0,0,0,0,0.2,30,0.1,3,5,1
777,1,1,1,1,1,1,1,1,0,30,0.1,3,5,4
778,0,0,0,0,0,0,0,0,0.2,0,0.25,5,5,0
779,1,1,1,1,1,1,1,1,0,30,0.25,3,10,3
780,1,1,1,0,1,1,1,1,0,0,0.25,5,5,4
781,1,1,1,1,1,1,1,1,0,0,0.25,3,10,3
782,1,1,1,1,1,1,1,1,0.2,0,0.1,5,10,3
783,1,1,0,0,1,1,1,0,0.2,30,0.1,3,5,2
784,1,1,1,1,1,1,1,1,0.2,0,0.25,5,10,2
785,1,1,1,1,1,0,0,1,0.2,0,0.25,3,5,2
786,1,0,0,0,0,1,1,1,0.2,0,0.1,5,10,1
787,0,1,1,1,1,1,0,1,0.2,30,0.25,3,10,0
788,0,0,0,0,0,0,0,0,0,0,0.1,3,5,0
789,0,1,0,0,0,0,0,0,0.2,30,0.25,5,10,0
790,1,0,0,0,0,1,1,1,0,0,0.1,3,10,3
791,1,1,1,0,1,0,1,1,0,30,0.1,3,5,3
792,1,1,0,0,0,1,1,1,0,0,0.1,5,5,4
793,1,1,0,1,1,1,1,1,0,0,0.1,5,10,5
794,1,1,1,1,1,1,1,1,0,0,0.1,3,5,4
795,0,0,0,0,0,0,0,0,0.2,0,0.1,3,5,0
796,1,1,1,1,1,0,1,1,0.2,30,0.1,5,5,3
797,0,0,0,0,0,0,0,0,0,0,0.25,3,10,0
798,1,1,1,1,1,1,1,1,0,0,0.25,5,10,4
799,0,1,0,0,0,0,0,0,0.2,30,0.25,3,5,0
800,0,1,0,0,1,0,0,0,0,30,0.25,5,5,0
801,0,0,0,0,0,0,0,0,0.2,30,0.25,5,5,0
802,1,1,1,1,1,1,1,1,0,30,0.25,3,10,2
803,1,0,0,0,0,0,0,0,0.2,0,0.1,3,5,2
804,1,1,0,0,0,0,0,0,0,30,0.25,3,10,1
805,0,1,0,0,1,0,0,1,0.2,30,0.25,5,10,0
806,0,0,0,0,0,0,0,0,0.2,0,0.1,3,10,0
807,1,1,1,1,1,1,1,1,0,30,0.25,5,10,3
808,0,0,0,0,0,0,0,0,0,0,0.25,5,5,0
809,0,1,0,0,1,0,0,1,0,30,0.25,3,5,0
810,1,1,1,1,1,1,1,1,0.2,30,0.25,5,5,4
811,1,1,0,1,1,1,1,1,0.2,0,0.1,3,10,4
812,1,0,0,0,0,0,1,0,0,0,0.25,5,10,1
813,0,0,0,0,0,0,0,0,0.2,30,0.1,3,5,0
814,1,1,0,0,1,0,0,1,0.2,30,0.25,3,10,3
815,1,1,1,0,1,1,1,1,0.2,0,0.25,5,5,1
816,0,1,0,0,0,1,1,0,0,0,0.1,5,10,0
817,0,1,1,1,1,1,1,1,0,30,0.25,3,5,0
818,1,1,0,0,1,0,1,0,0,30,0.1,5,5,1
819,1,1,1,1,1,1,1,1,0,0,0.25,5,5,5
820,1,1,1,1,1,1,1,1,0.2,0,0.25,5,10,5
821,1,1,0,0,1,0,0,1,0.2,30,0.25,3,5,1
822,0,0,0,0,0,0,0,0,0.2,0,0.1,5,10,0
823,0,0,0,0,0,0,0,0,0,30,0.25,3,5,0
824,0,0,0,0,0,0,0,0,0,0,0.1,5,5,0
825,0,1,0,0,0,0,0,0,0.2,30,0.25,3,5,0
826,1,0,0,0,0,1,1,1,0.2,0,0.1,5,10,2
827,1,0,0,0,0,0,0,0,0.2,0,0.1,5,10,1
828,1,1,0,1,1,0,0,1,0,0,0.1,3,10,3
829,0,1,0,0,1,1,0,1,0,30,0.25,5,10,0
830,1,1,1,1,1,1,1,1,0.2,30,0.1,5,10,2
831,1,1,1,1,1,0,1,1,0,30,0.25,3,5,2
832,0,1,0,0,0,0,0,0,0.2,30,0.25,5,5,0
833,1,1,0,0,1,1,1,0,0,30,0.1,3,10,1
834,0,1,0,0,0,0,0,0,0,30,0.25,3,10,0
835,1,0,0,0,0,0,0,0,0,0,0.1,3,10,1
