Graph, True,ExpertA,ExpertB,ExpertC,ExpertD,ExpertE,CDC,MachineL,Autocorrelation,Trend,Variability,PointsA,PointsB,EffectSize
95,1,1,0,0,0,1,1,1,0.2,0,0.1,5,5,1
96,1,1,1,1,1,1,1,1,0,30,0.1,3,5,5
97,1,1,1,1,1,1,1,1,0,0,0.25,3,10,3
98,1,1,0,1,1,0,0,1,0,0,0.1,5,5,4
99,1,1,0,0,0,0,1,0,0.2,30,0.25,5,10,1
100,1,1,0,0,0,1,1,1,0.2,30,0.25,3,10,3
101,1,1,0,0,1,1,1,0,0.2,30,0.1,3,5,2
102,1,0,0,0,0,0,0,0,0,0,0.25,3,10,1
103,0,0,0,0,0,0,0,0,0.2,0,0.1,5,10,0
104,0,0,0,0,0,0,0,0,0.2,0,0.25,5,5,0
105,0,0,0,0,0,0,0,0,0,30,0.25,5,5,0
106,1,1,1,0,1,1,1,1,0.2,30,0.25,5,5,2
107,1,1,0,1,1,0,0,0,0,30,0.25,5,10,1
108,0,0,0,0,0,0,0,0,0.2,30,0.25,5,5,0
109,0,0,0,0,0,0,0,0,0,0,0.25,5,5,0
110,1,0,0,0,0,0,0,1,0.2,0,0.1,5,10,1
111,1,1,0,0,1,1,1,1,0.2,0,0.1,5,10,3
112,1,1,1,1,1,1,1,1,0.2,30,0.1,5,5,3
113,1,1,0,1,1,1,1,1,0.2,30,0.25,3,10,4
114,1,1,0,0,1,0,0,1,0.2,0,0.25,3,5,5
115,1,1,1,1,1,1,1,1,0,30,0.1,3,10,5
116,0,1,0,0,0,0,0,0,0,30,0.25,5,5,0
117,0,1,0,0,0,0,1,0,0,30,0.1,5,10,0
118,1,1,1,1,1,1,1,0,0.2,30,0.1,5,5,1
119,0,1,0,0,0,0,0,0,0,30,0.25,5,10,0
120,1,1,1,1,1,1,1,1,0.2,30,0.1,5,5,4
121,0,0,0,0,0,0,0,0,0.2,30,0.1,5,5,0
122,1,1,0,1,0,0,0,0,0.2,30,0.25,5,10,3
123,1,1,0,1,1,1,1,1,0.2,0,0.25,5,5,5
124,1,1,0,0,0,0,0,1,0,30,0.25,3,5,4
125,1,1,1,1,1,1,1,1,0.2,0,0.25,5,5,5
126,1,1,0,0,0,1,1,1,0.2,0,0.1,5,5,2
127,0,0,0,0,0,0,0,0,0.2,0,0.25,5,5,0
128,0,0,0,0,0,0,0,0,0,0,0.25,3,5,0
129,0,0,0,0,0,0,0,0,0,0,0.25,3,10,0
130,0,1,0,0,0,0,0,0,0,30,0.1,3,5,0
131,1,1,1,1,1,1,1,1,0,30,0.25,5,10,3
132,0,0,0,0,0,0,0,0,0.2,0,0.1,3,10,0
133,1,1,1,1,1,1,1,1,0,30,0.1,5,10,5
134,0,1,0,0,0,0,0,0,0,0,0.25,3,5,0
135,1,1,0,0,0,0,0,0,0.2,30,0.1,3,5,3
136,1,1,0,0,0,0,0,1,0,30,0.25,3,10,3
137,1,1,1,1,1,1,1,1,0.2,30,0.25,3,5,5
138,0,1,0,0,0,0,0,0,0.2,30,0.1,5,5,0
139,1,1,1,1,1,1,1,0,0,30,0.25,3,10,1
140,1,1,0,0,0,1,1,1,0,0,0.1,5,5,2
141,1,0,0,0,0,0,0,1,0.2,0,0.1,3,10,1
142,1,1,1,1,1,1,1,1,0,30,0.1,3,10,4
143,0,1,0,0,0,0,0,0,0.2,30,0.1,5,10,0
144,1,0,0,0,0,0,0,0,0.2,30,0.1,3,5,1
145,1,0,0,0,0,0,0,0,0.2,0,0.25,3,10,1
146,0,0,0,0,0,0,0,0,0.2,0,0.1,5,5,0
147,1,1,1,1,1,1,1,1,0,30,0.25,5,5,3
148,1,1,1,1,1,1,1,1,0.2,30,0.25,3,10,4
149,0,1,0,1,0,0,0,0,0,30,0.1,3,5,0
150,1,1,0,0,1,1,1,1,0,0,0.1,3,10,4
151,0,1,0,0,0,0,0,0,0.2,0,0.1,3,5,0
152,1,1,1,1,1,1,1,1,0,0,0.25,5,5,4
153,0,0,0,0,0,0,0,0,0,0,0.1,5,5,0
154,0,0,0,0,0,0,0,0,0,0,0.25,3,5,0
155,0,1,0,0,0,0,0,0,0.2,30,0.25,3,5,0
156,1,1,0,0,0,1,0,0,0,0,0.25,3,10,1
157,1,1,1,1,1,1,1,1,0.2,30,0.25,3,5,4
158,1,1,0,0,1,0,1,1,0.2,30,0.1,5,10,4
159,1,0,0,0,0,0,1,0,0.2,0,0.1,5,10,2
160,0,1,0,0,0,0,0,0,0,0,0.25,3,10,0
161,0,0,0,0,0,0,0,0,0.2,0,0.25,5,5,0
162,1,1,0,0,1,0,0,1,0,0,0.25,5,10,4
163,1,1,1,1,1,1,1,1,0,30,0.25,5,5,1
164,1,1,1,1,1,1,1,1,0,30,0.1,5,10,3
165,0,1,0,0,1,0,0,0,0.2,30,0.25,5,5,0
166,0,1,0,0,0,0,0,0,0.2,30,0.25,3,10,0
167,1,1,0,0,0,0,0,0,0,30,0.1,3,5,1
168,0,1,0,0,0,0,0,0,0.2,30,0.1,5,5,0
169,0,0,0,0,0,0,0,0,0,0,0.1,3,10,0
170,0,1,1,0,0,1,1,1,0,30,0.1,5,10,0
171,0,0,0,0,0,0,0,0,0,0,0.1,3,10,0
172,0,0,0,0,0,0,0,0,0.2,0,0.25,5,10,0
173,1,1,1,0,1,1,1,1,0.2,0,0.1,3,5,5
174,0,1,1,0,0,1,1,0,0.2,30,0.1,5,10,0
175,0,1,0,0,0,0,0,0,0.2,0,0.25,5,5,0
176,0,1,1,0,1,1,1,1,0,30,0.1,3,10,0
177,1,1,0,0,1,1,1,1,0.2,0,0.25,5,5,2
178,0,0,0,0,0,0,0,0,0,0,0.1,3,5,0
179,0,1,0,0,0,0,0,0,0,30,0.1,5,10,0
180,0,1,0,0,0,0,0,0,0.2,30,0.1,3,10,0
181,1,1,1,1,1,0,1,1,0,30,0.1,3,5,5
182,0,1,1,1,1,1,1,0,0.2,30,0.25,5,10,0
183,1,1,1,1,1,1,1,1,0.2,0,0.25,3,10,5
184,0,1,1,0,1,0,1,0,0,30,0.1,5,5,0
185,0,0,0,0,0,0,0,0,0.2,0,0.25,5,10,0
186,1,1,1,1,1,1,1,1,0.2,30,0.1,3,10,4
187,0,1,0,0,0,1,1,1,0.2,0,0.1,3,10,0
188,1,1,1,1,1,1,1,1,0,30,0.25,3,10,5
189,0,1,0,0,1,0,0,0,0,30,0.25,3,5,0
190,1,1,0,1,1,1,1,0,0.2,30,0.25,3,10,2
191,1,1,1,0,1,1,1,1,0.2,0,0.1,5,5,4
192,1,1,1,0,1,1,1,1,0.2,30,0.1,5,10,3
193,1,1,1,0,1,1,1,1,0.2,30,0.25,5,10,3
194,1,1,1,1,1,1,1,1,0.2,30,0.25,5,5,5
195,1,1,0,0,0,0,1,1,0,0,0.25,3,10,2
196,1,1,0,0,0,0,0,1,0.2,0,0.1,5,10,4
197,1,1,0,0,0,0,1,0,0.2,30,0.1,5,5,2
198,0,1,0,0,0,0,0,0,0.2,30,0.25,3,10,0
199,0,1,1,0,1,0,1,0,0.2,30,0.25,3,10,0
200,1,1,0,0,0,0,0,0,0.2,30,0.1,3,5,2
201,1,1,1,0,1,1,1,1,0,0,0.25,3,5,3
202,0,0,0,0,0,0,0,0,0,0,0.1,3,5,0
203,1,1,0,0,0,0,0,0,0,0,0.1,5,5,1
204,0,0,0,0,0,0,0,0,0.2,0,0.1,3,5,0
205,0,0,0,0,0,0,0,0,0,0,0.25,5,5,0
206,1,1,0,1,1,1,1,0,0.2,30,0.25,5,10,2
207,1,1,1,1,1,1,1,1,0.2,30,0.1,3,10,4
208,0,0,0,0,0,0,0,0,0,0,0.1,5,5,0
209,0,0,0,0,0,0,0,0,0.2,0,0.25,3,10,0
210,0,0,0,0,0,0,0,0,0.2,0,0.25,5,5,0
211,1,1,1,1,1,1,1,1,0,0,0.1,3,5,4
212,1,1,1,0,1,1,1,0,0.2,30,0.1,3,5,3
213,1,1,0,0,0,0,0,0,0.2,30,0.25,3,5,3
214,1,1,1,1,1,1,1,0,0,30,0.25,3,10,2
215,0,1,0,0,0,0,0,0,0,30,0.1,5,5,0
216,1,1,1,1,1,1,1,1,0.2,30,0.25,3,5,1
217,1,1,1,0,1,1,1,1,0,0,0.25,3,10,5
218,1,1,0,0,1,1,1,1,0,0,0.1,3,5,2
219,0,0,0,0,0,0,0,0,0,30,0.1,3,5,0
220,1,1,0,0,0,0,0,0,0,0,0.1,3,10,3
221,1,1,0,1,1,1,1,1,0,30,0.25,5,10,5
222,1,1,0,1,1,0,1,1,0.2,30,0.1,3,10,5
223,1,1,1,1,1,0,0,1,0.2,0,0.1,5,10,4
224,1,1,1,1,1,1,1,1,0,0,0.25,5,10,4
225,1,1,0,0,0,0,0,0,0,30,0.1,5,10,2
226,1,0,0,0,0,0,0,0,0.2,0,0.1,3,10,1
227,1,1,1,0,1,1,1,1,0,30,0.1,5,10,4
228,1,1,0,0,1,0,0,0,0.2,30,0.25,5,10,1
229,0,0,0,0,0,0,0,0,0.2,0,0.25,5,10,0
230,0,1,1,1,1,1,1,1,0,30,0.25,3,10,0
231,1,1,1,0,1,0,0,1,0,0,0.25,5,5,1
232,1,1,0,0,0,0,1,0,0,0,0.25,3,5,2
233,0,1,0,0,0,0,0,0,0.2,30,0.25,3,5,0
234,1,1,1,0,1,1,1,1,0.2,0,0.1,5,10,5
235,0,0,0,0,0,0,0,0,0.2,0,0.1,5,5,0
236,0,1,0,0,1,1,1,1,0,30,0.1,5,5,0
237,1,1,1,1,1,1,1,1,0.2,30,0.1,3,5,5
238,1,1,1,1,1,1,1,1,0.2,0,0.25,3,10,4
239,0,0,0,0,0,0,0,0,0,0,0.25,3,5,0
240,0,0,0,0,0,0,0,0,0.2,0,0.1,5,5,0
241,0,0,0,0,0,0,0,0,0.2,30,0.25,3,5,0
242,0,1,0,0,0,0,0,0,0.2,30,0.1,5,5,0
243,1,0,0,0,0,0,0,0,0,0,0.1,5,10,2
244,0,0,0,0,0,0,0,0,0.2,0,0.1,5,10,0
245,1,1,1,0,1,1,1,1,0,30,0.1,5,10,5
246,1,1,1,1,1,1,1,1,0.2,30,0.1,5,5,3
247,1,1,1,1,1,1,1,1,0,0,0.1,5,5,2
248,0,1,1,0,1,1,1,0,0.2,30,0.1,5,10,0
249,0,0,0,0,0,0,0,0,0,0,0.1,5,5,0
250,0,1,0,0,0,0,0,0,0.2,0,0.25,5,10,0
251,1,1,1,1,1,1,1,1,0,0,0.25,3,5,5
252,0,0,0,0,0,0,0,0,0.2,0,0.1,3,10,0
253,1,1,1,0,1,0,0,1,0.2,0,0.25,3,10,2
254,0,1,0,0,0,0,0,0,0,30,0.1,5,10,0
255,1,1,0,0,0,0,1,0,0,0,0.1,5,5,4
256,1,1,0,1,1,0,0,1,0.2,30,0.25,5,10,5
257,1,1,0,0,0,0,0,0,0,0,0.25,5,5,3
258,1,1,1,1,1,1,1,1,0,0,0.1,5,10,4
259,1,1,1,1,1,1,1,0,0.2,30,0.25,3,10,1
260,1,1,1,0,1,0,1,1,0,0,0.1,5,10,3
261,0,1,0,0,0,0,0,0,0,30,0.1,5,5,0
262,0,1,0,0,1,0,1,0,0.2,30,0.1,3,5,0
263,1,1,0,0,1,0,0,1,0,30,0.25,5,10,2
264,1,1,0,0,0,0,1,0,0.2,30,0.1,5,10,2
265,1,1,0,0,0,0,0,1,0.2,0,0.1,3,10,5
266,0,0,0,0,0,0,0,0,0,0,0.25,5,10,0
267,1,1,1,1,1,1,1,1,0,30,0.25,3,10,5
268,1,1,1,1,1,0,0,1,0,0,0.25,3,5,5
269,1,1,1,1,1,1,1,1,0,30,0.25,5,5,2
270,1,0,0,0,0,0,0,1,0.2,0,0.25,5,10,2
271,1,1,0,0,1,1,1,1,0.2,30,0.1,5,5,4
272,1,1,0,0,1,1,1,1,0.2,0,0.1,3,5,4
273,1,0,0,0,0,0,0,0,0,0,0.25,3,5,1
274,0,0,0,0,0,0,0,0,0,30,0.1,5,5,0
275,0,0,0,0,0,0,0,0,0,0,0.25,3,5,0
276,1,0,0,0,0,0,1,0,0,0,0.25,5,10,2
277,1,0,0,0,0,0,0,0,0,0,0.1,5,5,1
278,1,1,0,1,1,1,1,1,0,30,0.25,3,10,3
279,0,1,0,0,1,0,0,0,0.2,30,0.25,3,10,0
280,1,1,0,0,0,0,1,0,0,30,0.1,5,5,2
281,1,1,0,0,1,1,1,1,0.2,30,0.25,5,10,5
282,0,1,0,0,0,0,0,0,0.2,0,0.25,3,5,0
283,1,1,0,0,0,0,0,0,0.2,0,0.1,3,5,3
284,1,1,1,1,1,0,0,1,0,0,0.25,3,10,3
285,1,1,0,1,1,1,1,1,0,30,0.1,3,10,4
286,1,1,0,0,0,0,0,1,0,0,0.1,5,10,5
287,0,1,1,0,1,1,1,1,0,30,0.25,5,5,0
288,1,1,1,1,1,1,1,1,0.2,0,0.1,3,10,4
289,0,0,0,0,0,0,0,0,0.2,0,0.1,3,5,0
290,0,0,0,0,0,0,0,0,0.2,0,0.1,5,10,0
291,1,1,0,0,0,0,0,0,0,0,0.1,3,10,2
292,1,1,0,0,0,0,0,0,0,0,0.25,3,5,4
293,0,0,0,0,0,0,0,0,0.2,30,0.1,5,5,0
294,1,1,1,1,1,0,0,1,0.2,30,0.25,3,10,4
295,0,0,0,0,0,0,0,0,0,0,0.25,3,10,0
